gender,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,psum,wb,swb
Kvinde,Studerende,4,3,3,3,2,3,3,3,2,3,3,4,3,3,5,6,2,7,5,3,1,7,3,3,4,5,2,3,6,5,3,2,6,4,3,2,6,3,4,3,5,6,6,2,4,5,5,4,5,6,4,1,1,6,7,6,2,3,5,75,57,54,186,42,19.25
Kvinde,Studerende,3,4,3,3,2,4,2,3,3,2,2,3,3,3,6,2,1,4,7,6,1,7,3,4,7,6,3,6,4,4,4,7,3,3,2,5,4,4,6,5,2,6,2,1,6,7,1,1,5,6,7,1,2,7,5,4,5,4,4,77,47,66,190,40,19.25
Kvinde,Studerende,3,3,3,4,2,3,3,3,4,3,4,4,3,3,5,2,4,7,6,4,4,5,1,5,6,2,5,7,5,5,4,3,4,5,2,5,7,5,6,4,4,6,2,3,2,6,2,1,1,7,4,1,5,6,3,6,4,2,6,76,62,51,189,45,20.73
Kvinde,Studerende,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,2,1,1,1,4,2,5,3,3,1,1,2,5,4,5,2,1,1,5,6,5,4,4,2,5,1,1,1,1,1,2,1,6,5,1,2,5,1,5,3,1,5,51,47,30,128,56,25.03
Kvinde,Studerende,4,3,3,3,3,2,3,2,3,2,3,4,2,3,5,2,5,3,4,2,2,6,3,6,5,6,6,6,4,5,1,2,3,4,2,3,7,6,2,2,1,6,1,3,2,7,2,2,1,6,4,2,2,6,2,4,5,2,4,72,50,42,164,40,19.25
Kvinde,Studerende,4,4,3,3,4,3,4,3,3,3,4,4,4,4,5,1,4,2,7,4,2,6,3,2,7,4,6,4,2,3,1,5,2,3,2,5,6,4,3,1,2,4,1,3,5,4,5,2,5,5,5,1,5,5,6,6,1,3,1,61,32,70,163,50,22.35
Mand,Studerende,3,4,1,4,2,4,4,3,3,3,4,4,4,3,5,1,7,1,4,4,1,7,5,2,7,5,5,7,1,3,2,6,2,4,2,1,1,1,4,1,1,5,1,4,7,7,5,4,3,7,1,1,5,7,7,5,1,3,4,71,28,68,167,46,20.73
Kvinde,Arbejdende,2,4,3,5,3,4,4,3,2,3,5,5,5,3,7,1,4,1,4,7,5,1,1,7,5,7,1,6,5,4,4,1,4,5,2,5,7,5,4,6,1,7,1,1,1,7,1,4,1,7,1,1,1,7,1,7,4,1,3,88,52,26,166,51,21.54
Kvinde,Studerende,4,4,3,4,4,4,3,4,3,3,4,5,3,3,5,1,3,4,2,3,1,3,7,4,6,4,1,6,3,5,1,5,1,1,1,5,4,6,4,1,1,5,1,1,1,5,1,1,1,6,1,7,1,6,2,5,3,1,1,58,44,35,137,51,22.35
Kvinde,Studerende,3,4,3,4,3,3,4,3,4,4,4,4,4,3,1,1,3,1,2,1,1,5,1,1,2,4,2,1,2,5,2,4,1,1,1,2,4,3,2,5,2,1,1,1,3,4,2,1,1,1,2,1,1,2,4,1,1,1,1,31,29,29,89,50,22.35
Kvinde,Studerende,4,4,4,4,2,3,2,4,4,3,4,4,3,3,4,3,7,7,3,1,1,6,1,3,5,1,1,2,4,4,5,2,3,3,1,5,5,2,4,1,2,5,1,1,3,4,1,5,1,5,6,1,1,2,2,5,2,1,1,57,43,33,133,48,22.35
Kvinde,Studerende,4,5,2,3,3,4,4,4,3,3,4,4,2,3,5,1,3,1,2,2,1,6,1,1,6,5,2,2,1,5,2,3,3,1,1,1,5,3,1,2,1,1,1,1,2,6,1,1,1,7,1,1,1,6,4,5,1,1,1,55,26,28,109,48,23.21
Kvinde,Arbejdende,2,1,3,3,3,2,3,2,3,1,4,3,1,3,4,4,5,3,5,1,3,6,2,4,5,5,1,3,4,4,3,3,4,2,1,5,5,4,3,2,1,3,2,2,3,4,3,2,3,5,6,4,2,6,5,1,4,3,3,54,52,47,153,34,17.43
Kvinde,Studerende,3,3,2,3,2,3,3,2,3,2,4,4,2,3,5,3,1,4,4,1,1,4,4,4,5,2,4,2,3,2,1,2,3,4,1,6,5,3,5,2,2,5,1,2,3,6,2,1,2,6,4,1,1,7,2,4,4,3,3,56,40,44,140,39,19.25
Kvinde,Studerende,3,3,2,4,2,3,3,2,3,2,3,4,2,2,5,1,2,1,3,1,1,3,1,4,6,2,3,4,2,3,2,7,1,1,2,1,4,2,6,4,1,4,1,2,4,5,1,6,5,6,7,1,4,5,2,5,2,3,3,55,28,56,139,38,18.59
Mand,Studerende,5,4,3,4,3,4,5,4,4,4,5,5,4,4,5,6,4,1,1,2,3,7,1,5,3,1,2,6,1,7,2,4,4,2,1,3,5,2,2,6,5,6,1,1,1,1,1,1,1,6,1,4,2,6,1,4,2,1,1,55,54,23,132,58,27.03
Kvinde,Studerende,4,3,2,3,2,3,3,3,4,3,4,3,4,3,2,2,7,6,5,6,3,6,5,5,6,6,2,4,5,6,7,1,6,1,1,3,7,5,1,1,1,5,1,2,2,5,3,1,3,6,3,1,1,1,1,6,3,1,1,68,51,37,156,44,20.73
Kvinde,Studerende,2,3,3,2,2,3,3,2,1,1,3,4,2,3,7,1,1,1,7,7,7,7,4,1,6,7,7,7,7,1,7,2,1,7,1,1,7,1,7,2,1,7,7,1,7,4,4,6,2,1,4,1,1,7,1,7,1,6,1,95,28,60,183,34,17.43
Kvinde,Studerende,4,4,2,4,3,3,3,3,4,3,4,5,3,3,6,2,2,1,3,2,3,7,2,4,6,3,5,5,6,6,4,2,2,2,1,2,5,4,4,5,3,6,2,1,3,7,4,2,1,7,2,1,1,6,2,6,4,2,4,74,45,39,158,48,21.54
Mand,Studerende,4,3,2,4,1,4,4,3,4,4,5,5,5,4,5,6,5,5,5,3,2,6,3,5,6,5,4,5,4,5,2,3,6,4,3,3,5,3,5,3,2,5,2,3,5,6,5,3,4,6,5,1,2,5,4,4,4,3,4,68,56,60,184,52,23.21
Kvinde,Studerende,4,3,3,3,3,3,3,4,3,3,4,4,4,3,4,2,1,1,4,1,3,6,2,5,4,2,4,6,3,4,4,1,4,1,1,2,5,4,3,2,3,2,3,3,4,5,3,1,1,5,3,1,2,4,3,2,2,1,4,51,41,39,131,47,20.73
Kvinde,Højskole,2,3,4,4,3,4,4,3,4,3,4,4,4,3,6,1,1,3,6,4,2,7,2,2,7,6,5,6,7,4,7,4,5,6,3,2,6,6,6,4,1,6,1,2,2,6,5,6,5,6,1,1,5,6,5,6,2,2,2,91,37,60,188,49,22.35
Kvinde,Studerende,2,2,2,2,2,2,2,1,3,2,3,3,3,3,6,3,3,7,6,6,2,2,5,5,5,7,5,7,6,4,6,2,4,7,3,3,7,3,5,5,4,7,4,2,5,6,6,6,3,7,5,1,4,7,5,7,2,4,4,94,54,65,213,32,16.36
Kvinde,Studerende,2,2,1,3,2,2,2,1,2,1,3,1,3,2,6,2,3,2,7,6,4,2,4,2,7,6,6,7,6,3,6,7,3,5,5,2,7,5,5,2,1,6,3,5,6,6,6,5,7,6,7,2,5,6,7,6,2,5,2,86,38,89,213,27,15.32
Kvinde,Arbejdende,4,4,2,4,3,3,3,2,4,2,5,4,2,2,7,2,1,3,7,7,2,6,4,2,4,7,2,6,6,2,6,2,2,6,4,3,7,2,2,2,2,4,1,2,2,3,2,6,4,7,3,1,2,7,2,6,2,4,4,91,31,46,168,44,22.35
Mand,Sabbatår,4,4,3,3,3,3,4,2,3,2,4,3,3,3,5,1,5,2,2,3,2,7,6,2,4,2,3,5,3,2,6,3,6,1,3,5,6,4,5,1,4,5,3,3,2,5,2,1,1,2,2,1,1,5,1,5,5,2,2,61,45,40,146,44,22.35
Kvinde,Arbejdende,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,1,5,1,3,1,4,4,4,4,5,3,2,6,6,5,3,2,4,2,1,5,5,7,3,1,1,5,3,1,4,4,4,1,1,2,2,1,3,7,4,6,1,2,2,59,45,41,145,56,26.02
Mand,Studerende,4,4,3,4,4,4,3,4,5,4,3,5,4,4,2,4,4,4,2,1,1,3,5,3,6,3,3,4,4,5,6,6,4,3,3,3,5,5,2,2,1,3,1,2,7,5,1,5,1,7,5,3,5,7,4,7,2,2,3,65,45,54,164,55,23.21
Kvinde,Arbejdende,3,3,2,4,2,3,4,2,3,2,4,3,3,3,7,2,1,1,6,3,1,7,3,3,6,7,4,6,5,2,3,3,2,2,2,2,7,1,4,2,1,7,2,3,4,7,3,2,6,6,6,1,3,4,4,5,2,3,2,78,25,60,163,41,19.98
Kvinde,Studerende,3,3,3,4,3,3,2,3,3,2,2,3,3,3,4,2,2,2,3,3,3,5,2,3,4,5,2,5,5,3,3,2,2,3,1,2,5,5,1,2,2,5,1,1,2,5,1,1,1,5,1,1,1,5,2,2,1,2,2,61,33,26,120,40,17.98
Kvinde,Studerende,3,3,2,4,3,4,3,3,4,2,4,4,4,4,5,4,4,6,6,4,1,3,2,4,3,6,2,5,2,4,2,2,5,4,2,2,3,5,2,1,1,4,1,1,3,4,2,2,6,5,5,1,2,4,3,3,2,2,2,56,43,43,142,47,20.73
Kvinde,Studerende,4,4,2,4,2,4,3,2,3,3,4,5,3,2,3,1,5,1,1,1,1,6,1,2,7,2,1,1,1,7,1,3,7,1,1,1,1,7,1,1,1,5,4,1,2,4,1,1,1,7,1,1,1,7,1,2,3,1,1,43,43,24,110,45,21.54
Mand,Studerende,4,4,3,3,2,3,2,4,3,4,4,4,3,3,6,4,6,2,3,5,4,6,3,5,6,4,6,5,5,5,5,5,3,3,1,6,5,6,6,3,2,5,4,2,4,5,3,1,4,6,1,1,2,5,3,5,5,2,1,71,57,51,179,46,20.73
Mand,Arbejdende,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,2,4,2,2,1,5,2,2,4,1,1,4,1,5,6,2,3,7,1,4,6,4,1,5,1,3,1,1,1,6,1,1,1,6,2,1,1,6,1,1,3,1,2,60,43,22,125,58,26.02
Mand,Studerende,4,4,3,3,3,4,4,4,3,4,4,4,3,3,6,5,3,3,2,2,1,6,4,5,6,4,2,7,2,5,5,3,4,2,2,2,6,4,3,2,4,6,2,2,6,3,5,2,2,6,4,2,2,6,3,5,5,3,2,68,49,49,166,50,23.21
Kvinde,Studerende,3,4,4,3,3,4,4,4,4,4,3,5,3,4,5,2,6,3,2,3,5,7,4,5,5,5,2,6,4,5,1,1,5,1,1,4,7,6,3,5,5,3,1,3,1,1,1,1,1,2,1,4,3,2,5,3,5,5,5,51,66,38,155,52,23.21
Kvinde,Arbejdende,3,4,2,3,2,3,3,3,4,3,4,3,2,2,6,6,4,1,6,5,3,5,4,5,7,7,5,5,6,3,5,4,3,5,6,4,6,3,6,2,1,5,2,4,5,6,5,5,4,6,3,1,4,7,6,6,3,4,2,85,43,73,201,41,20.73
Mand,Arbejdende,4,4,4,4,4,4,4,3,4,3,4,4,4,4,2,2,1,2,1,1,2,5,1,2,1,1,1,2,1,1,1,1,2,1,1,4,7,1,1,1,1,1,1,1,2,7,1,1,1,7,1,1,1,1,1,1,1,1,1,39,23,16,78,54,25.03
Kvinde,Studerende,4,4,3,4,3,4,3,4,4,4,4,5,3,4,5,2,4,3,5,1,2,5,2,2,4,3,2,2,2,3,3,2,4,4,1,4,5,5,1,2,2,3,3,2,4,5,2,1,1,6,2,2,2,6,2,5,2,2,3,56,43,34,133,53,23.21
Mand,Arbejdende,3,3,3,4,4,4,4,3,4,3,4,5,4,4,2,1,5,1,4,5,1,7,7,4,2,4,1,3,2,4,1,2,3,1,1,5,6,4,1,3,6,6,5,1,2,3,1,1,1,6,1,2,1,5,1,6,1,2,1,58,46,28,132,52,22.35
Kvinde,Arbejdende,2,2,3,3,2,3,2,3,2,2,3,2,2,3,6,4,1,1,6,5,4,6,3,4,1,7,2,2,5,4,4,2,3,3,4,2,4,3,1,1,1,7,5,2,3,6,4,5,2,1,1,1,1,7,2,5,2,5,2,73,38,39,150,34,16.88
Kvinde,Studerende,3,3,2,4,2,2,2,3,3,3,4,5,4,3,6,3,6,2,7,3,4,5,6,4,7,5,7,2,3,7,4,7,4,1,5,6,7,7,6,1,1,1,1,1,7,4,6,2,7,7,6,1,1,6,7,5,7,3,4,61,58,83,202,43,17.98
Mand,Studerende,4,4,4,5,4,3,4,4,4,4,5,4,3,4,4,6,1,2,1,1,1,5,2,2,1,1,1,7,4,5,5,1,4,3,1,5,6,4,2,2,4,5,6,1,1,6,1,1,7,6,6,2,1,6,1,4,6,1,2,64,52,28,144,56,25.03
Kvinde,Studerende,4,3,3,4,3,4,4,3,2,3,3,4,3,3,5,1,2,1,3,1,1,5,2,1,2,3,3,7,4,3,4,2,2,2,1,1,4,4,4,3,2,4,2,1,2,4,2,3,1,4,1,1,1,4,2,4,3,2,4,58,31,29,118,46,20.73
Mand,Studerende,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,2,4,2,1,5,2,4,5,5,2,1,1,1,5,2,4,1,2,3,4,3,2,2,1,1,1,2,2,4,2,1,3,5,6,3,1,1,1,2,1,3,3,42,36,39,117,53,24.11
Kvinde,Arbejdende,4,5,4,4,3,4,5,5,5,5,5,5,2,4,5,5,1,2,4,1,1,5,5,3,5,4,2,2,1,2,1,2,6,1,1,2,5,6,1,1,1,2,1,2,4,6,2,2,1,5,5,2,1,6,4,5,2,3,4,51,39,42,132,60,29.31
Kvinde,Studerende,4,4,3,4,3,3,3,4,4,3,4,4,3,3,4,2,2,3,5,1,1,4,3,4,4,4,3,2,2,3,2,2,2,2,1,2,5,5,3,3,1,2,3,2,4,6,2,1,1,2,4,1,3,5,3,4,6,1,1,46,39,41,126,49,22.35
Kvinde,Studerende,3,2,3,3,2,3,3,2,3,2,4,4,3,3,5,2,1,2,6,1,2,3,4,5,4,1,2,2,4,5,3,2,3,1,3,3,5,4,2,5,2,1,1,1,5,4,5,1,6,2,3,1,3,6,4,5,1,2,1,44,38,52,134,40,19.25
Mand,Sabbatår,4,4,4,2,2,3,3,4,4,3,3,5,4,3,4,4,3,2,7,5,3,6,5,4,4,4,4,5,4,5,4,3,3,4,4,3,2,5,5,2,1,4,1,5,7,6,5,4,3,4,3,3,4,5,5,5,5,4,5,66,49,68,183,48,22.35
Kvinde,Studerende,3,4,2,5,2,4,2,5,5,5,5,5,4,4,5,2,1,1,4,2,2,4,1,2,4,1,1,3,1,4,1,2,4,1,1,3,3,3,3,2,1,2,3,1,3,3,1,1,1,5,1,1,1,3,1,3,2,1,1,38,32,26,96,55,22.35
Kvinde,Arbejdende,5,4,3,3,4,4,4,4,3,4,5,5,3,4,6,5,6,5,1,5,6,3,2,4,5,5,2,5,5,3,4,3,4,2,1,3,7,5,4,3,3,6,2,1,2,5,1,2,1,7,3,3,2,7,2,7,3,2,4,76,59,32,167,55,25.03
Mand,Studerende,4,4,3,3,2,4,4,4,4,4,4,3,4,4,6,5,6,5,3,6,5,6,3,5,7,6,5,6,6,6,6,6,5,6,4,5,6,5,6,5,4,7,5,3,6,5,4,6,4,6,5,3,5,6,5,5,5,3,5,89,74,69,232,51,24.11
Kvinde,Arbejdende,4,4,3,4,3,3,4,3,2,2,5,4,4,4,6,4,3,2,4,4,4,6,2,5,7,3,3,4,3,4,2,3,4,4,2,3,4,5,2,2,2,4,4,1,5,6,5,3,5,6,4,2,4,4,4,3,4,4,3,62,51,55,168,49,22.35
Kvinde,Arbejdende,4,4,3,4,2,3,4,4,3,3,5,5,3,2,1,1,7,1,3,1,4,6,1,4,5,4,1,6,2,4,2,2,4,3,1,2,7,6,1,3,1,6,1,1,5,4,1,1,1,7,2,1,1,5,4,5,1,1,6,60,46,30,136,49,23.21
Kvinde,Studerende,3,3,2,3,2,3,2,3,3,2,3,4,2,2,5,5,2,4,7,5,4,5,2,5,5,2,3,6,4,3,7,4,5,5,3,1,6,4,5,2,1,6,1,1,7,5,7,4,1,7,7,1,3,6,7,6,5,1,3,79,46,63,188,37,17.98
Kvinde,Studerende,4,3,2,3,2,3,3,3,3,2,3,4,4,3,7,4,5,5,7,7,4,7,2,4,7,7,4,7,6,4,7,2,5,7,5,4,7,6,7,4,3,7,3,4,6,7,6,6,5,7,6,2,5,7,4,7,4,3,5,103,62,73,238,42,19.25
Kvinde,Studerende,3,3,3,4,3,4,4,3,4,3,4,5,4,4,3,2,1,1,5,2,4,3,2,2,4,5,4,6,3,3,1,1,4,2,1,5,3,4,3,3,2,4,2,2,4,5,3,1,2,5,1,1,2,5,2,3,2,2,2,51,38,38,127,51,22.35
Kvinde,Studerende,2,2,3,3,2,3,3,3,2,2,4,2,3,2,6,1,3,1,5,2,3,6,3,1,4,2,1,1,4,4,4,1,5,1,3,3,3,4,1,4,3,1,4,2,3,2,2,1,1,1,1,1,1,3,3,3,2,2,2,40,41,33,114,36,17.98
Kvinde,Arbejdende,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,4,1,1,5,1,1,4,1,2,1,1,4,1,1,3,1,1,3,5,5,4,2,1,1,2,1,2,2,2,1,1,5,1,1,1,5,1,1,1,1,1,35,29,27,91,56,25.03
Kvinde,Ledig,3,3,3,4,2,3,2,2,3,3,3,3,2,3,7,1,2,1,7,5,2,7,1,2,6,7,5,5,4,2,5,2,6,6,2,3,5,3,3,1,1,5,1,1,4,5,1,4,2,6,4,1,3,5,3,3,3,1,2,79,31,45,155,39,18.59
Kvinde,Studerende,2,4,2,3,2,3,3,4,4,3,5,4,4,4,3,1,3,1,7,5,1,6,1,3,7,6,1,7,3,5,4,7,3,1,1,4,7,4,5,7,1,4,1,1,7,7,7,1,6,7,1,1,4,6,7,7,3,3,1,74,39,65,178,47,20.73
Kvinde,Studerende,4,3,2,3,3,3,4,4,4,3,4,4,3,3,5,3,4,2,4,3,3,6,2,3,5,5,1,2,3,5,4,3,4,2,1,5,3,3,5,3,1,5,2,1,5,5,2,2,2,7,3,1,1,7,5,5,3,1,5,64,47,41,152,47,21.54
Kvinde,Studerende,4,3,3,4,3,3,3,3,4,3,3,4,4,4,4,2,1,1,3,3,3,5,2,1,4,3,3,5,4,3,5,3,2,3,1,2,5,3,3,4,2,5,3,2,4,5,2,2,1,4,2,1,2,5,3,5,2,2,2,63,32,37,132,48,20.73
Kvinde,Studerende,2,3,3,4,3,3,2,4,4,2,4,4,3,3,5,1,1,1,3,4,1,6,2,1,4,6,4,5,6,3,5,2,2,6,2,2,7,4,4,1,1,6,1,1,4,4,1,5,1,4,1,2,1,6,3,6,1,1,1,81,23,34,138,44,19.25
Mand,Arbejdende,4,4,4,4,3,3,3,4,5,4,5,5,5,4,5,2,7,1,2,1,1,4,3,3,4,2,2,1,1,4,1,1,2,1,1,4,2,3,1,1,1,1,1,1,1,2,2,1,1,3,1,1,1,4,2,2,4,2,2,31,37,25,93,57,25.03
Kvinde,Studerende,4,4,3,4,2,3,3,4,2,3,5,4,3,3,6,3,6,2,7,5,1,7,4,2,7,5,4,4,3,6,5,3,5,5,1,6,6,5,3,2,2,7,2,2,4,6,5,5,4,6,5,1,1,6,5,6,6,3,5,82,54,58,194,47,21.54
Kvinde,Sygemeldt,3,3,2,4,2,3,2,2,4,2,3,5,3,3,6,1,2,1,6,7,7,6,3,2,7,6,6,7,7,3,7,4,3,7,4,2,6,4,7,2,1,6,1,3,5,6,3,6,3,7,5,1,4,6,4,7,5,4,6,97,41,68,206,41,18.59
Kvinde,Studerende,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,2,2,3,1,2,4,3,3,5,1,2,2,1,6,1,3,5,1,1,2,4,3,2,2,2,1,4,2,2,6,2,2,4,6,4,1,1,4,4,2,2,2,3,40,42,40,122,54,23.21
Kvinde,Studerende,3,3,4,4,2,4,4,3,2,3,4,3,2,3,2,2,2,1,3,3,2,5,1,3,4,3,2,5,4,3,5,4,3,5,2,3,6,3,3,3,2,4,5,3,3,5,3,2,3,5,4,1,3,5,5,4,1,2,2,63,36,45,144,44,21.54
Kvinde,Studerende,3,4,4,4,3,3,3,2,3,2,3,3,4,4,5,4,3,2,7,5,1,7,5,6,7,7,3,6,4,4,4,3,3,6,3,5,5,3,5,4,3,7,1,4,5,5,4,4,1,7,1,1,3,7,5,7,6,4,3,86,49,60,195,45,20.73
Kvinde,Studerende,5,3,3,4,4,4,4,4,5,4,4,5,3,4,3,2,3,1,4,1,2,5,2,3,5,4,2,5,2,5,2,3,3,2,1,4,6,4,5,4,1,3,2,2,4,5,3,1,3,5,5,2,1,5,3,5,4,2,4,54,44,45,143,56,25.03
Kvinde,Studerende,4,3,4,4,3,2,3,4,4,3,3,5,4,4,3,2,3,2,5,1,1,5,3,3,4,5,3,5,4,3,4,3,4,3,2,2,4,4,2,1,1,3,2,2,3,3,2,3,1,5,1,1,2,5,3,4,3,3,1,57,33,39,129,50,20.73
Kvinde,Studerende,4,3,4,5,3,4,4,4,5,4,4,3,4,4,3,1,4,1,5,1,3,4,2,4,3,1,1,1,1,2,1,2,3,1,1,2,5,5,4,2,1,1,1,1,4,3,1,1,1,5,2,1,1,4,3,2,3,1,1,34,34,32,100,55,25.03
Kvinde,Studerende,4,4,2,3,3,3,3,2,3,3,5,4,2,3,7,4,4,2,7,1,3,7,4,3,7,7,7,6,4,5,7,7,1,7,1,1,6,1,5,3,1,7,1,4,7,5,7,5,1,7,4,1,7,7,5,7,1,4,4,90,35,77,202,44,21.54
Kvinde,Studerende,3,3,3,3,2,3,2,3,3,2,3,4,2,2,6,1,1,1,3,4,1,6,6,3,4,5,2,4,5,3,3,4,2,5,1,3,7,4,4,3,2,6,3,1,3,5,4,3,1,6,2,1,2,6,3,6,2,1,2,77,32,41,150,38,18.59
Kvinde,Studerende,3,3,3,3,2,3,2,2,3,2,3,4,1,3,6,1,1,1,6,4,2,5,2,3,6,5,4,5,6,2,5,3,2,3,3,3,6,2,6,3,5,5,5,3,5,5,5,4,6,6,2,2,3,5,5,5,1,2,1,75,34,61,170,37,18.59
Kvinde,Studerende,4,4,3,3,2,3,3,4,3,3,4,4,3,4,5,4,4,1,5,5,4,6,3,2,6,6,6,6,3,5,5,6,4,3,2,3,5,5,2,2,5,6,5,2,5,6,3,2,5,7,6,4,6,6,4,6,3,2,3,77,54,63,194,47,21.54
Kvinde,Studerende,3,3,3,3,2,4,4,4,3,3,4,4,2,4,5,2,2,2,2,2,2,4,2,2,5,2,2,2,5,5,2,2,4,2,2,5,5,4,2,2,2,4,2,2,3,3,2,2,4,5,4,3,3,5,3,2,2,2,2,50,41,40,131,46,21.54
Mand,Studerende,2,2,3,3,3,4,4,3,1,4,5,2,4,2,2,3,2,3,5,1,4,2,3,3,6,4,2,3,1,6,2,6,2,4,1,3,2,5,3,2,2,3,3,2,4,5,5,3,6,1,5,1,3,4,6,5,3,4,2,42,44,61,147,42,19.25
Mand,Studerende,5,5,3,3,3,4,3,4,5,5,5,5,5,5,1,4,5,6,1,1,2,6,2,1,1,3,1,1,1,4,4,1,2,1,1,4,4,4,1,2,1,2,2,1,1,7,1,1,1,1,3,1,1,3,1,1,1,1,2,37,41,18,96,60,27.03
Mand,Studerende,3,4,3,4,3,3,4,4,3,2,4,3,3,4,3,4,6,2,5,5,5,5,3,5,6,5,5,5,4,6,4,3,5,4,3,4,7,3,5,5,2,2,2,2,4,4,4,3,3,3,3,2,1,2,4,5,5,4,7,61,63,55,179,47,21.54
Mand,Studerende,4,3,3,3,4,4,3,4,3,5,4,5,4,3,4,3,1,6,3,7,4,6,2,5,4,4,3,6,1,2,4,3,4,2,2,5,6,2,2,4,3,5,1,2,2,6,2,3,3,4,2,2,4,4,2,5,3,4,2,67,47,40,154,52,21.54
Mand,Studerende,4,4,2,4,2,4,2,4,4,2,4,5,4,4,5,6,3,3,5,2,2,6,3,6,5,3,5,2,2,5,5,2,3,2,1,5,5,3,2,2,2,5,5,3,2,2,2,3,2,6,3,6,2,5,2,2,6,3,6,55,63,42,160,49,21.54
